Index,MOSI,MISO,CLK,CS,EVENT,PB7,PC2,PC3
5965216,1,0,0,0,0,0,0,0
5965220,1,0,1,0,0,0,0,0
5965224,0,1,0,0,0,0,0,0
5965228,0,1,1,0,0,0,0,0
5965232,0,0,0,0,0,0,0,0
5965236,0,0,1,0,0,0,0,0
5965240,0,0,0,0,0,0,0,0
5965244,0,0,1,0,0,0,0,0
5965248,0,0,0,0,0,0,0,0
5965252,0,0,1,0,0,0,0,0
5965256,0,0,0,0,0,0,0,0
5965260,0,0,1,0,0,0,0,0
5965264,0,1,0,0,0,0,0,0
5965268,0,1,1,0,0,0,0,0
5965272,0,0,0,0,0,0,0,0
5965274,0,0,1,0,0,0,0,0
5965278,0,1,0,0,0,0,0,0
5965282,0,1,1,0,0,0,0,0
5965286,1,0,0,0,0,0,0,0
5965290,1,0,1,0,0,0,0,0
5965294,0,0,0,0,0,0,0,0
5965297,0,0,1,0,0,0,0,0
5965302,0,0,0,0,0,0,0,0
5965305,0,0,1,0,0,0,0,0
5965309,0,0,0,0,0,0,0,0
5965313,0,0,1,0,0,0,0,0
5965317,1,0,0,0,0,0,0,0
5965321,1,0,1,0,0,0,0,0
5965325,1,0,0,0,0,0,0,0
5965329,1,0,1,0,0,0,0,0
5965333,1,0,0,0,0,0,0,0
5965570,1,0,0,1,0,0,0,0
5965572,1,1,0,1,0,0,0,0
5965704,1,0,0,0,0,0,0,0
5965960,0,0,0,0,0,0,0,0
5965962,0,0,1,0,0,0,0,0
5965966,0,1,0,0,0,0,0,0
5965970,0,1,1,0,0,0,0,0
5965974,0,1,0,0,0,0,0,0
5965978,0,1,1,0,0,0,0,0
5965982,0,0,0,0,0,0,0,0
5965986,0,0,1,0,0,0,0,0
5965990,1,0,0,0,0,0,0,0
5965994,1,0,1,0,0,0,0,0
5965998,0,0,0,0,0,0,0,0
5966002,0,0,1,0,0,0,0,0
5966006,0,0,0,0,0,0,0,0
5966010,0,0,1,0,0,0,0,0
5966014,0,0,0,0,0,0,0,0
5966018,0,0,1,0,0,0,0,0
5966022,0,0,0,0,0,0,0,0
5966024,0,0,1,0,0,0,0,0
5966028,0,0,0,0,0,0,0,0
5966032,0,0,1,0,0,0,0,0
5966036,0,0,0,0,0,0,0,0
5966040,0,0,1,0,0,0,0,0
5966044,0,0,0,0,0,0,0,0
5966048,0,0,1,0,0,0,0,0
5966052,0,0,0,0,0,0,0,0
5966056,0,0,1,0,0,0,0,0
